date,vaccine
2021-09-29,12268498.0
2021-09-30,12268498.0
2021-10-01,12593276.0
2021-10-02,12593276.0
2021-10-03,12593276.0
2021-10-04,12593276.0
2021-10-05,12840302.0
2021-10-06,13063132.0
2021-10-07,13182547.0
2021-10-08,13182547.0
2021-10-09,13302682.0
2021-10-10,13302682.0
2021-10-11,13302682.0
2021-10-12,13466577.0
2021-10-13,13466577.0
2021-10-14,23907243.0
2021-10-15,13907243.0
2021-10-16,13929429.0
2021-10-17,13929429.0
2021-10-18,13929429.0
2021-10-19,14097921.0
2021-10-20,14097921.0
2021-10-21,14313392.0
2021-10-22,14313392.0
2021-10-23,14313392.0
2021-10-24,14313392.0
2021-10-25,14742868.0
2021-10-26,14742868.0
2021-10-27,14864813.0
2021-10-28,14864813.0
2021-10-29,14864813.0
2021-10-31,15314788.0
2021-11-01,15314788.0
2021-11-02,15329097.0
2021-10-30,14864813.0
2021-11-03,15329097.0
2021-11-04,15562387.0
2021-11-05,15562387.0
2021-11-06,15655530.0
2021-11-07,15655530.0
2021-11-08,15655530.0
2021-11-09,15840842.0
2021-11-10,15840842.0
2021-11-11,15917833.0
2021-11-12,15995893.0
2021-11-13,15995893.0
2021-11-14,16166105.0
2021-11-15,16220848.0
2021-11-16,16252396.0
2021-11-17,16327413.0
2021-11-18,16404841.0
2021-11-19,16479699.0
2021-11-20,16550176.0
2021-11-21,16550176.0
2021-11-22,16652562.0
2021-11-23,16652562.0
2021-11-24,16712749.0
2021-11-25,16781364.0
2021-11-26,16857214.0
2021-11-27,16994112.0
2021-11-28,16994112.0
2021-11-29,17018870.0
2021-11-30,17139535.0
2021-12-01,17260202.0
2021-12-02,17376900.0
2021-12-03,17660930.0
2021-12-04,17660930.0
2021-12-05,17660930.0
2021-12-06,17820083.0
2021-12-07,17840592.0
2021-12-08,17944783.0
2021-12-09,18053081.0
2021-12-10,18157324.0
2021-12-11,18157324.0
2021-12-12,18344024.0
2021-12-13,18344024.0
2021-12-14,18379697.0
2021-12-15,18452800.0
2021-12-16,18530650.0
2021-12-17,18530650.0
2021-12-18,18600540.0
2021-12-19,18600540.0
2021-12-20,18657599.0
2021-12-21,18674488.0
2021-12-22,18674488.0
2021-12-23,18768087.0
2021-12-24,27733331.0
2021-12-25,27778860.0
2021-12-26,18844628.0
2021-12-27,18844628.0
2021-12-28,18846402.0
2021-12-29,18846402.0
2021-12-30,18874881.0
2021-12-31,18905708.0
2022-01-01,18905708.0
2022-01-02,18905708.0
2022-01-03,18905708.0
2022-01-04,18944167.0
2022-01-05,18979366.0
2022-01-06,19065094.0
2022-01-07,19065094.0
2022-01-08,19157785.0
2022-01-09,19157785.0
2022-01-10,19157785.0
2022-01-11,19171775.0
2022-01-12,19276663.0
2022-01-13,19276663.0
2022-01-14,19318516.0
2022-01-15,19318516.0
2022-01-16,19318516.0
2022-01-17,19318516.0
2022-01-18,19476136.0
2022-01-19,19257383.0
2022-01-20,19257383.0
2022-01-21,19257383.0
2022-01-22,19328210.0
2022-01-23,19363834.0
2022-01-24,19373583.0
2022-01-25,19412803.0
2022-01-26,19412803.0
2022-01-27,19488784.0
2022-01-28,19526619.0
2022-01-29,19563985.0
2022-01-30,19563985.0
2022-01-31,19563985.0
2022-02-01,19577079.0
2022-02-02,19611652.0
2022-02-03,19611652.0
2022-02-04,19682367.0
2022-02-05,19682367.0
2022-02-06,19716641.0
2022-02-07,19716641.0
2022-02-08,19758807.0
2022-02-09,19758807.0
2022-02-10,19758807.0
2022-02-11,19865842.0
2022-02-12,19865842.0
2022-02-13,19865842.0
2022-02-14,20384333.0
2022-02-15,20384333.0
2022-02-16,20427730.0
2022-02-17,20516392.0
2022-02-18,20516392.0
2022-02-19,20516392.0
2022-02-20,20564143.0
2022-02-21,20623359.0
2022-02-22,20623359.0
2022-02-23,20623359.0
2022-02-24,20709449.0
2022-02-25,20249900.0
2022-02-26,20322017.0
2022-02-27,20322017.0
2022-02-28,20322017.0
2022-03-01,20322017.0
2022-03-02,20396606.0
2022-03-03,20396606.0
2022-03-04,20396606.0
2022-03-05,20396606.0
2022-03-06,20396606.0
2022-03-07,20501676.0
2022-03-08,20529787.0
2022-03-09,20529787.0
2022-03-10,20558264.0
2022-03-11,20585989.0
2022-03-12,20642570.0
2022-03-13,20642570.0
2022-03-14,20647974.0
2022-03-15,20650525.0
2022-03-16,20674733.0
2022-03-17,20701915.0
2022-03-18,20729866.0
2022-03-19,20753252.0
2022-03-20,20772989.0
2022-03-21,20777048.0
2022-03-22,20778875.0
2022-03-23,20781379.0
2022-03-24,20802093.0
2022-03-25,20826204.0
2022-03-26,20849944.0
2022-03-27,20868945.0
2022-03-28,20875084.0
2022-03-29,20875084.0
2022-03-30,20894155.0
2022-03-31,20913645.0
2022-04-01,20934382.0
2022-04-02,20934382.0
2022-04-03,20934382.0
2022-04-04,20954169.0
2022-04-05,20973752.0
2022-04-06,20987044.0
2022-04-07,21001488.0
2022-04-08,21017169.0
2022-04-09,21017169.0
2022-04-10,21017169.0
2022-04-11,21060350.0
2022-04-12,21062995.0
2022-04-13,21079205.0
2022-04-14,21097500.0
2022-04-15,21115282.0
2022-04-16,21115282.0
2022-04-17,21115282.0
2022-04-18,21127625.0
2022-04-19,21130966.0
2022-04-20,21132296.0
2022-04-21,21147587.0
2022-04-22,21166254.0
2022-04-23,21166254.0
2022-04-24,21209463.0
2022-04-25,21209463.0
2022-04-26,21211199.0
2022-04-27,21231368.0
2022-04-28,21252895.0
2022-04-28,21257362.0
2022-04-29,21279854.0
2022-04-30,21298735.0
2022-05-01,21302363.0
2022-05-03,21303491.0
2022-05-04,21305271.0
2022-05-05,21323742.0
2022-05-06,21343519.0
2022-05-07,21364436.0
2022-05-08,21383128.0
2022-05-09,21387271.0
2022-05-10,21388927.0
2022-05-11,21408366.0
2022-05-12,21430421.0
2022-05-13,21454556.0
2022-05-14,21477273.0
2022-05-15,21497152.0
2022-05-16,21500938.0
2022-05-17,21502593.0
2022-05-18,21521824.0
2022-05-19,21544408.0
2022-05-20,21567977.0
2022-05-21,21591879.0
2022-05-22,21611749.0
2022-05-23,21614937.0
2022-05-24,21616425.0
2022-05-25,21636221.0
2022-05-26,21658175.0
2022-05-27,21679158.0
2022-05-28,21700754.0
2022-05-29,21719395.0
2022-05-30,21723060.0
2022-05-31,21724648.0
2022-06-01,21742087.0
2022-06-02,21759015.0
2022-06-03,21776154.0
2022-06-04,21793671.0
2022-06-05,21808776.0
2022-06-06,21811715.0
2022-06-07,21812703.0
2022-06-08,21826541.0
2022-06-09,21842401.0
2022-06-10,21858805.0
2022-06-11,21874855.0
2022-06-12,21887217.0
2022-06-13,21890079.0
2022-06-14,21890917.0
2022-06-15,21905030.0
2022-06-16,21920327.0
2022-06-17,21934417.0
2022-06-18,21937255.0
